R,G,B,Etiqueta
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
119,76,76,manzana
119,76,76,manzana
119,76,76,manzana
119,76,76,manzana
119,76,76,manzana
119,76,76,manzana
115,74,74,manzana
119,76,76,manzana
119,76,76,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
119,76,76,manzana
119,76,76,manzana
119,76,76,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,74,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,74,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
115,74,82,manzana
95,85,85,manzana
95,85,85,manzana
95,85,85,manzana
95,85,85,manzana
95,85,85,manzana
99,88,88,manzana
97,85,85,manzana
97,85,85,manzana
97,85,85,manzana
107,80,93,manzana
95,85,85,manzana
97,85,85,manzana
104,81,92,manzana
99,77,88,manzana
102,89,89,manzana
102,76,89,manzana
102,81,91,manzana
99,88,88,manzana
