R,G,B,Etiqueta
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
73,104,96,nada
73,104,97,nada
74,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,96,nada
69,105,96,nada
70,104,97,nada
69,105,96,nada
69,104,97,nada
69,104,97,nada
69,104,96,nada
69,104,97,nada
69,104,96,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
71,105,96,nada
102,114,102,nada
85,106,85,nada
85,102,102,nada
66,88,99,nada
69,92,104,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
63,95,95,nada
66,99,99,nada
63,95,95,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,88,99,nada
94,116,102,nada
68,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,96,nada
69,104,97,nada
69,104,96,nada
86,110,101,nada
85,106,106,nada
76,89,102,nada
71,91,102,nada
71,105,96,nada
73,107,99,nada
73,110,102,nada
67,107,103,nada
85,106,106,nada
85,106,106,nada
85,102,102,nada
66,88,99,nada
66,99,99,nada
63,95,95,nada
63,95,106,nada
63,95,95,nada
63,95,95,nada
61,91,102,nada
63,95,106,nada
63,95,106,nada
63,95,106,nada
63,95,106,nada
63,95,106,nada
63,95,106,nada
63,95,106,nada
63,95,106,nada
63,95,106,nada
63,95,106,nada
63,95,106,nada
76,89,102,nada
90,115,98,nada
71,105,96,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,96,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,105,97,nada
69,105,97,nada
69,105,97,nada
69,104,97,nada
69,104,96,nada
106,106,106,nada
78,98,98,nada
63,95,95,nada
63,95,95,nada
74,95,95,nada
63,95,95,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
66,99,99,nada
63,95,95,nada
63,95,95,nada
63,95,95,nada
63,95,95,nada
63,95,95,nada
66,88,99,nada
66,88,99,nada
63,95,95,nada
70,99,99,nada
71,105,96,nada
71,105,97,nada
71,106,97,nada
70,105,97,nada
70,106,97,nada
71,106,97,nada
70,105,97,nada
70,105,97,nada
71,105,98,nada
70,104,97,nada
70,105,97,nada
71,105,97,nada
70,104,96,nada
70,105,96,nada
70,105,97,nada
71,105,97,nada
74,104,96,nada
75,105,97,nada
72,104,97,nada
69,104,97,nada
70,104,97,nada
70,105,97,nada
70,105,98,nada
71,105,97,nada
71,105,97,nada
71,105,97,nada
71,105,98,nada
71,105,97,nada
70,105,97,nada
71,106,97,nada
70,105,97,nada
71,105,97,nada
72,105,97,nada
72,106,98,nada
73,108,99,nada
74,108,99,nada
72,108,99,nada
71,105,97,nada
69,104,97,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,104,96,nada
69,104,97,nada
69,105,97,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,105,96,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,105,97,nada
69,105,97,nada
69,105,97,nada
69,105,97,nada
69,105,97,nada
69,105,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,97,nada
69,104,96,nada
69,105,96,nada
