R,G,B,Etiqueta
87,107,59,platano
87,107,59,platano
88,108,60,platano
88,108,60,platano
88,106,60,platano
88,108,60,platano
89,107,60,platano
89,107,60,platano
89,107,60,platano
89,107,58,platano
89,107,60,platano
89,107,60,platano
89,107,60,platano
89,107,58,platano
89,107,58,platano
89,107,60,platano
88,106,60,platano
88,106,60,platano
88,106,60,platano
88,106,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
88,108,60,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
87,107,59,platano
88,108,60,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,61,platano
89,107,59,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,61,platano
89,107,59,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,109,61,platano
89,107,61,platano
89,107,61,platano
89,107,61,platano
89,109,61,platano
89,109,61,platano
89,109,61,platano
88,108,61,platano
88,108,61,platano
88,108,61,platano
88,108,61,platano
88,108,61,platano
88,108,61,platano
88,108,61,platano
88,108,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
89,107,59,platano
90,109,61,platano
90,108,60,platano
89,109,60,platano
89,107,60,platano
91,107,60,platano
90,107,61,platano
87,107,62,platano
88,107,66,platano
87,107,67,platano
94,114,68,platano
92,109,64,platano
90,108,63,platano
90,110,62,platano
88,109,61,platano
88,108,63,platano
89,108,62,platano
89,107,63,platano
89,107,63,platano
88,107,63,platano
86,106,66,platano
84,104,65,platano
83,106,65,platano
85,106,65,platano
88,107,63,platano
91,109,66,platano
89,106,64,platano
89,107,62,platano
90,108,63,platano
89,107,60,platano
88,108,60,platano
